date,hits,geo,time,keyword,gprop,category
2020-02-09T00:00:00Z,38,world,2020-01-01 2020-02-18,bloomberg,web,All categories
2020-02-10T00:00:00Z,38,world,2020-01-01 2020-02-18,bloomberg,web,All categories
2020-02-11T00:00:00Z,72,world,2020-01-01 2020-02-18,bloomberg,web,All categories
2020-02-12T00:00:00Z,100,world,2020-01-01 2020-02-18,bloomberg,web,All categories
2020-02-13T00:00:00Z,89,world,2020-01-01 2020-02-18,bloomberg,web,All categories
2020-02-14T00:00:00Z,100,world,2020-01-01 2020-02-18,bloomberg,web,All categories
2020-02-15T00:00:00Z,81,world,2020-01-01 2020-02-18,bloomberg,web,All categories
2020-01-01T00:00:00Z,5,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-02T00:00:00Z,6,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-03T00:00:00Z,5,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-04T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-05T00:00:00Z,5,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-06T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-07T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-08T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-09T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-10T00:00:00Z,5,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-11T00:00:00Z,5,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-12T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-13T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-14T00:00:00Z,5,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-15T00:00:00Z,20,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-16T00:00:00Z,6,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-17T00:00:00Z,5,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-18T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-19T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-20T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-21T00:00:00Z,3,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-22T00:00:00Z,3,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-23T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-24T00:00:00Z,3,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-25T00:00:00Z,3,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-26T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-27T00:00:00Z,7,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-28T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-29T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-30T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-31T00:00:00Z,4,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-01T00:00:00Z,5,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-02T00:00:00Z,8,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-03T00:00:00Z,10,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-04T00:00:00Z,73,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-05T00:00:00Z,100,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-06T00:00:00Z,47,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-07T00:00:00Z,57,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-08T00:00:00Z,59,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-09T00:00:00Z,38,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-10T00:00:00Z,31,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-11T00:00:00Z,31,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-12T00:00:00Z,61,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-13T00:00:00Z,29,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-14T00:00:00Z,20,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-02-15T00:00:00Z,19,world,2020-01-01 2020-02-18,buttigieg,web,All categories
2020-01-01T00:00:00Z,21,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-02T00:00:00Z,34,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-03T00:00:00Z,42,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-04T00:00:00Z,23,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-05T00:00:00Z,19,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-06T00:00:00Z,19,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-07T00:00:00Z,24,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-08T00:00:00Z,22,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-09T00:00:00Z,30,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-10T00:00:00Z,22,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-11T00:00:00Z,16,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-12T00:00:00Z,16,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-13T00:00:00Z,19,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-14T00:00:00Z,26,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-15T00:00:00Z,35,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-16T00:00:00Z,18,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-17T00:00:00Z,27,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-18T00:00:00Z,22,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-19T00:00:00Z,16,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-20T00:00:00Z,16,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-21T00:00:00Z,17,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-22T00:00:00Z,77,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-23T00:00:00Z,85,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-24T00:00:00Z,52,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-25T00:00:00Z,44,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-26T00:00:00Z,31,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-27T00:00:00Z,21,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-28T00:00:00Z,19,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-29T00:00:00Z,25,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-30T00:00:00Z,29,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-31T00:00:00Z,28,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-01T00:00:00Z,22,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-02T00:00:00Z,23,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-03T00:00:00Z,24,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-04T00:00:00Z,47,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-05T00:00:00Z,37,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-06T00:00:00Z,28,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-07T00:00:00Z,28,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-08T00:00:00Z,41,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-09T00:00:00Z,45,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-10T00:00:00Z,30,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-11T00:00:00Z,57,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-12T00:00:00Z,100,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-13T00:00:00Z,51,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-14T00:00:00Z,20,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-02-15T00:00:00Z,25,world,2020-01-01 2020-02-18,gabbard,web,All categories
2020-01-01T00:00:00Z,2,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-02T00:00:00Z,3,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-03T00:00:00Z,3,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-04T00:00:00Z,2,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-05T00:00:00Z,2,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-06T00:00:00Z,3,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-07T00:00:00Z,3,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-08T00:00:00Z,2,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-09T00:00:00Z,2,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-10T00:00:00Z,2,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-11T00:00:00Z,2,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-12T00:00:00Z,2,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-13T00:00:00Z,2,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-14T00:00:00Z,3,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-15T00:00:00Z,25,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-16T00:00:00Z,5,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-17T00:00:00Z,4,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-18T00:00:00Z,3,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-19T00:00:00Z,3,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-20T00:00:00Z,14,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-21T00:00:00Z,7,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-22T00:00:00Z,5,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-23T00:00:00Z,4,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-24T00:00:00Z,5,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-25T00:00:00Z,4,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-26T00:00:00Z,5,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-27T00:00:00Z,3,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-28T00:00:00Z,4,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-29T00:00:00Z,4,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-30T00:00:00Z,5,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-31T00:00:00Z,5,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-01T00:00:00Z,6,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-02T00:00:00Z,7,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-03T00:00:00Z,8,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-04T00:00:00Z,21,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-05T00:00:00Z,9,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-06T00:00:00Z,5,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-07T00:00:00Z,9,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-08T00:00:00Z,44,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-09T00:00:00Z,15,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-10T00:00:00Z,17,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-11T00:00:00Z,35,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-12T00:00:00Z,100,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-13T00:00:00Z,28,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-14T00:00:00Z,14,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-02-15T00:00:00Z,14,world,2020-01-01 2020-02-18,klobuchar,web,All categories
2020-01-01T00:00:00Z,11,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-02T00:00:00Z,11,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-03T00:00:00Z,12,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-04T00:00:00Z,9,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-05T00:00:00Z,9,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-06T00:00:00Z,7,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-07T00:00:00Z,8,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-08T00:00:00Z,10,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-09T00:00:00Z,10,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-10T00:00:00Z,13,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-11T00:00:00Z,14,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-12T00:00:00Z,13,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-13T00:00:00Z,18,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-14T00:00:00Z,23,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-15T00:00:00Z,40,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-16T00:00:00Z,25,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-17T00:00:00Z,18,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-18T00:00:00Z,15,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-19T00:00:00Z,14,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-20T00:00:00Z,14,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-21T00:00:00Z,20,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-22T00:00:00Z,22,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-23T00:00:00Z,18,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-24T00:00:00Z,19,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-25T00:00:00Z,21,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-26T00:00:00Z,19,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-27T00:00:00Z,18,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-28T00:00:00Z,19,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-29T00:00:00Z,18,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-30T00:00:00Z,19,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-31T00:00:00Z,20,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-01T00:00:00Z,24,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-02T00:00:00Z,28,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-03T00:00:00Z,35,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-04T00:00:00Z,66,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-05T00:00:00Z,43,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-06T00:00:00Z,41,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-07T00:00:00Z,39,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-08T00:00:00Z,43,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-09T00:00:00Z,32,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-10T00:00:00Z,30,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-11T00:00:00Z,40,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-12T00:00:00Z,100,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-13T00:00:00Z,48,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-14T00:00:00Z,38,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-02-15T00:00:00Z,34,world,2020-01-01 2020-02-18,sanders,web,All categories
2020-01-01T00:00:00Z,17,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-02T00:00:00Z,11,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-03T00:00:00Z,18,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-04T00:00:00Z,15,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-05T00:00:00Z,69,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-06T00:00:00Z,12,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-07T00:00:00Z,10,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-08T00:00:00Z,7,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-09T00:00:00Z,9,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-10T00:00:00Z,30,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-11T00:00:00Z,15,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-12T00:00:00Z,12,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-13T00:00:00Z,12,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-14T00:00:00Z,16,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-15T00:00:00Z,100,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-16T00:00:00Z,26,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-17T00:00:00Z,14,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-18T00:00:00Z,10,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-19T00:00:00Z,9,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-20T00:00:00Z,11,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-21T00:00:00Z,17,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-22T00:00:00Z,16,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-23T00:00:00Z,13,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-24T00:00:00Z,14,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-25T00:00:00Z,8,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-26T00:00:00Z,10,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-27T00:00:00Z,8,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-28T00:00:00Z,9,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-29T00:00:00Z,10,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-30T00:00:00Z,10,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-01-31T00:00:00Z,10,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-01T00:00:00Z,12,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-02T00:00:00Z,10,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-03T00:00:00Z,10,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-04T00:00:00Z,18,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-05T00:00:00Z,11,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-06T00:00:00Z,21,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-07T00:00:00Z,15,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-08T00:00:00Z,71,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-09T00:00:00Z,21,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-10T00:00:00Z,15,world,2020-01-01 2020-02-18,steyer,web,All categories
2020-02-11T00:00:00Z,16,world,2020-01-01 2020-02-18,steyer,web,All categories
